binchicken_dir	coassembly	assembler	walltime	cpu_time	mean_load	max_rss	max_vms	samples	length	total_targets	total_size	recover_samples
results/aviary/target/20230619/p__RBG-13-61-14	coassembly_3	metaspades	36356.501	7.27	3192.49	185951.86	187641.96	SRR7051295,SRR7051320	2	24	20604000000.0	SRR5214151,SRR5214304,SRR6301447,SRR6823441,SRR7051211,SRR7051242,SRR7051243,SRR7051244,SRR7051245,SRR7051259,SRR7051264,SRR7051266,SRR7051275,SRR7051278,SRR7051284,SRR7051285,SRR7051295,SRR7051296,SRR7051320,SRR7517629
results/aviary/target/20230619/p__Undinarchaeota	coassembly_0	metaspades	39582.0921	16.17	3785.58	183915.81	185523.45	SRR12113420,SRR12113424	2	30	29038999999.0	SRR12113386,SRR12113401,SRR12113418,SRR12113419,SRR12113420,SRR12113421,SRR12113422,SRR12113424,SRR12113425,SRR12113426,SRR12113428,SRR12113429,SRR12113430,SRR12113431,SRR12113432,SRR12113433,SRR3989342,SRR3990169,SRR4343428,SRR4343430
results/aviary/target/20230619/p__DUMJ01	coassembly_1	megahit	10466.6829	1682.31	3797.01	10517.91	14604.74	SRR350589,SRR4027954	2	34	27470000000.0	SRR350589,SRR353767,SRR3929057,SRR4027954,SRR4028098,SRR5248366,SRR5451357,SRR7067822,SRR7067823,SRR8863542,SRR9649890,SRR9650343
results/aviary/target/20230619/p__DRYD01	coassembly_5	metaspades	13179.1167	77559.78	3339.49	68619.73	90145.88	SRR11582145,SRR11582147	2	25	8621999999.0	ERR372908,SRR10490651,SRR10491401,SRR10491403,SRR10571831,SRR10571834,SRR11582144,SRR11582145,SRR11582147,SRR11582148,SRR11582167,SRR3961742,SRR5214706,SRR5580901,SRR5580903,SRR6260404,SRR6260480,SRR6261395,SRR6261459,SRR7473442
results/aviary/target/20230619/p__DRYD01	coassembly_7	metaspades	13835.0715	58321.25	3249.68	63340.87	77669.88	ERR1578618,SRR7473445	2	23	16456000000.0	ERR1578618,ERR1612258,ERR1612259,SRR10491401,SRR10491403,SRR10571831,SRR10571834,SRR11582144,SRR11582148,SRR11582167,SRR3961742,SRR5214706,SRR5580901,SRR5580903,SRR6260404,SRR6260480,SRR6261395,SRR6261459,SRR7473442,SRR7473445
results/aviary/target/20230619/p__DRYD01	coassembly_3	metaspades	25085.6	603178.99	3375.21	245077.25	245838.45	SRR10491403,SRR10571831	2	486	7614000000.0	ERR372908,SRR10490637,SRR10490644,SRR10490651,SRR10491401,SRR10491403,SRR10571831,SRR10571834,SRR10571836,SRR11582144,SRR16588181,SRR3961742,SRR5214706,SRR5580901,SRR5580903,SRR6260404,SRR6260480,SRR6261395,SRR6261459,SRR6261902
results/aviary/target/20230619/p__SpSt-1190	coassembly_5	metaspades	12824.0743	158341.95	3839.65	60742.08	76678.29	SRR11582162,SRR11582163	2	25	14027000000.0	SRR11582139,SRR11582159,SRR11582162,SRR11582163,SRR14454019,SRR14454020,SRR4101184,SRR4101185,SRR5214709
results/aviary/target/20230619/p__SpSt-1190	coassembly_7	metaspades	40339.3193	36.29	3621.06	204987.55	208002.26	SRR7051284,SRR7051285	2	22	23319000000.0	SRR5214151,SRR6301444,SRR6301445,SRR6301447,SRR6478753,SRR6478754,SRR6823442,SRR7051211,SRR7051242,SRR7051244,SRR7051259,SRR7051264,SRR7051265,SRR7051266,SRR7051277,SRR7051283,SRR7051284,SRR7051285,SRR7051295,SRR7517629
results/aviary/target/20230619/p__T1Sed10-126	coassembly_1	metaspades	92371.7577	17.05	3929.8	399183.55	400968.07	SRR9330139,SRR9330141	2	21	31980000000.0	SRR9330139,SRR9330140,SRR9330141,SRR9330142,SRR9330143,SRR9330145,SRR9330146,SRR9330151,SRR9330153
results/aviary/target/20230619/p__Goldbacteria	coassembly_9	metaspades	87839.8959	66.82	3861.24	365496.21	368439.09	SRR6183662,SRR6946416	2	20	46547000000.0	SRR12951270,SRR13202123,SRR13781757,SRR5825479,SRR5828270,SRR6181340,SRR6182164,SRR6182855,SRR6182865,SRR6183662,SRR6946416,SRR7027738,SRR7027741,SRR7027742,SRR7027823,SRR7027835,SRR7028364,SRR7028380,SRR7028484,SRR7028531
