samples	length	total_targets	total_size	recover_samples	coassembly
SRR6877508,SRR6877510	2	9713	41454930300	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_0
SRR6877509,SRR6877515	2	8932	40324191900	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_1
SRR6873776,SRR6877511	2	8752	39968259300	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_2
SRR6877507,SRR6877513	2	8506	35911601700	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_3
SRR6877514,SRR6877517	2	7861	34147173000	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_4
SRR6877506,SRR6877512	2	6626	23609331300	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_5
SRR6873775,SRR6873778	2	5568	29089298700	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877515,SRR6877516,SRR6877520	coassembly_6
SRR6873784,SRR6873786	2	4486	45027144300	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877514,SRR6877515,SRR6877520	coassembly_7
SRR6869039,SRR6869043	2	3386	44732778900	SRR6854573,SRR6854585,SRR6854586,SRR6854587,SRR6854589,SRR6869034,SRR6869035,SRR6869039,SRR6869040,SRR6869041,SRR6869042,SRR6869043,SRR6869390,SRR6869392,SRR6869393,SRR6869394,SRR6869395,SRR6873785,SRR6873786,SRR6877520	coassembly_8
SRR6854572,SRR6854573	2	3358	44114541000	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_9
SRR6854571,SRR6854576	2	3062	45424255800	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_10
SRR6869052,SRR6869055	2	2946	36998931300	SRR6854575,SRR6854603,SRR6854605,SRR6854606,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_11
SRR6869051,SRR6869053	2	2785	34076565000	SRR6854575,SRR6854602,SRR6854603,SRR6854605,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_12
SRR6873783,SRR6877516	2	2779	44929753200	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_13
SRR6854602,SRR6854606	2	2769	47125388100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_14
SRR6854605,SRR6854607	2	2759	49906325100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_15
SRR6869046,SRR6869048	2	2571	37005860700	SRR6854575,SRR6854602,SRR6854603,SRR6854605,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_16
SRR6873776,SRR6877506,SRR6877512	3	2554	49332929100	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_17
