samples	targets
SRR6877508,SRR6877510	15751
SRR6877509,SRR6877515	14305
SRR6877507,SRR6877513	13876
SRR6873776,SRR6877511	13440
SRR6877514,SRR6877517	13326
SRR6877506,SRR6877512	10356
SRR6873775,SRR6873778	9574
SRR6873784,SRR6873786	8284
SRR6854605,SRR6854607	5793
SRR6854602,SRR6854606	5700
SRR6854572,SRR6854573	5541
SRR6869039,SRR6869043	5292
SRR6869052,SRR6869055	5203
SRR6869051,SRR6869053	4999
SRR6854571,SRR6854576	4692
SRR6869046,SRR6869048	4503
SRR6854587,SRR6854589	4473
SRR6854582,SRR6854603	4293
SRR6873783,SRR6877516	3784
SRR6869045,SRR6869054	3708
SRR6873777,SRR6873780	3656
SRR6869044,SRR6869049	3566
SRR6873781,SRR6873782	3092
SRR6854583,SRR6854604	2846
SRR6869398,SRR6869399	2520
SRR6854578,SRR6854580	2075
SRR6869391,SRR6869393	2068
SRR6854586,SRR6854590	2051
SRR6869031,SRR6869032	2023
SRR6854709,SRR6854713	1969
SRR6869387,SRR6869389	1870
SRR6854716,SRR6854717	1863
SRR6854574,SRR6854575	1719
SRR6869028,SRR6869029	1665
SRR6854577,SRR6854579	1664
SRR6854585,SRR6854588	1575
SRR6854601,SRR6854715	1362
SRR6869396,SRR6869397	1299
SRR6869027,SRR6869033	1222
SRR6854711,SRR6854714	1169
SRR6854599,SRR6854600	1152
SRR6854723,SRR6854725	1121
SRR6854719,SRR6854721	1121
SRR6854592,SRR6854594	1113
SRR6869047,SRR6869050	1067
SRR6854591,SRR6854597	988
SRR6869024,SRR6869026	973
SRR6854718,SRR6854724	968
SRR6869030,SRR6869038	892
SRR6869025,SRR6869037	866
SRR6854595,SRR6854596	847
SRR6854598,SRR6854710	788
SRR6907236,SRR6907238	713
SRR6854722,SRR6854726	691
SRR6854712,SRR6854720	546
SRR6869034,SRR6869041	513
SRR6869388,SRR6869392	476
SRR6854581,SRR6854584	445
SRR6854593,SRR6873779	24
