coassembly	recover_date	date	samples	recover_samples
SRP163575_co1	20230920	20230920	SRR7968113,SRR8439172	SRR7968108,SRR7968110,SRR7968113,SRR8439172
SRP162660_co1	20231204	20231204	SRR7905022,SRR7905024	SRR7905022,SRR7905023,SRR7905024
SRP200020_co2	20231204	20231204	SRR9166043,SRR9166047	SRR9166041,SRR9166042,SRR9166043,SRR9166044,SRR9166047,SRR9166048,SRR9166049,SRR9166051
SRP219642_co7	20231204	20231204	SRR10036056,SRR10036065	SRR10036018,SRR10036034,SRR10036035,SRR10036037,SRR10036038,SRR10036039,SRR10036040,SRR10036041,SRR10036042,SRR10036046,SRR10036054,SRR10036055,SRR10036056,SRR10036058,SRR10036059,SRR10036063,SRR10036064,SRR10036065,SRR10036090,SRR10036091
SRP319275_co1	20231204	20231204	SRR14492168,SRR14492169	SRR14492168,SRR14492169,SRR14492172,SRR14492173,SRR14492174,SRR14492177,SRR14492182,SRR14492183,SRR14492185,SRR14492186,SRR14492187,SRR14492188,SRR14492189,SRR14492190,SRR14492191,SRR14492196,SRR14492197,SRR14492198,SRR14492199,SRR14492200
SRP128015_co2	20231204	20231204	SRR6439358,SRR6439359	SRR6439354,SRR6439355,SRR6439356,SRR6439358,SRR6439359,SRR6439360,SRR6439361,SRR6439362,SRR6439363,SRR6439364,SRR6439365,SRR6439366,SRR6439368,SRR6439369,SRR6439370,SRR6439371,SRR6439372
SRP167671_co1	20231204	20231204	SRR8146442,SRR8146443	SRR8146440,SRR8146441,SRR8146442,SRR8146443
ERP122455_co1	20231204	20231204	ERR5295732,ERR5295859	ERR5291938,ERR5293742,ERR5295327,ERR5295589,ERR5295732,ERR5295859,ERR5310748,ERR5317324,ERR5317353,ERR5319970,ERR5322706,ERR5324274,ERR5325469,ERR5330906,ERR5332651,ERR5333200,ERR5333226,ERR5333227,ERR5333323,ERR5337106
SRP269290_co5	20231204	20231204	SRR12113409,SRR12113410	SRR12113388,SRR12113389,SRR12113391,SRR12113392,SRR12113394,SRR12113395,SRR12113397,SRR12113404,SRR12113407,SRR12113408,SRR12113409,SRR12113410,SRR12113411,SRR12113413,SRR12113414,SRR12113415,SRR12113416,SRR12113422
SRP242652_co1	20231204	20231204	SRR10912415,SRR10912417	SRR10912409,SRR10912410,SRR10912411,SRR10912412,SRR10912413,SRR10912415,SRR10912416,SRR10912417,SRR10912418
