samples	targets
SRR6877507,SRR6877510	9096
SRR6877509,SRR6877515	8932
SRR6877514,SRR6877516	7662
SRR6869390,SRR6869392	1801
SRR6873785,SRR6877517	1136
SRR6869048,SRR6877513	668
SRR6854711,SRR6854719	490
SRR6869047,SRR6877512	462
SRR6869046,SRR6877511	453
SRR6869036,SRR6877508	347
SRR6854712,SRR6854718	313
SRR6854590,SRR6869388	274
SRR6869034,SRR6869387	197
SRR6854714,SRR6854723	196
SRR6869042,SRR6869394	174
SRR6854571,SRR6869395	173
SRR6869389,SRR6869391	158
SRR6854605,SRR6869039	154
SRR6869040,SRR6869398	150
SRR6869043,SRR6873784	139
SRR6869397,SRR6877520	130
SRR6854575,SRR6873776	127
SRR6869041,SRR6873781	116
SRR6869052,SRR6877506	114
SRR6854580,SRR6873783	114
SRR6854594,SRR6854710	110
SRR6854582,SRR6854720	104
SRR6877521,SRR6907238	98
SRR6854578,SRR6873780	86
SRR6854587,SRR6869049	85
SRR6854607,SRR6873778	85
SRR6869024,SRR6873777	85
SRR6854579,SRR6873779	84
SRR6854574,SRR6854709	81
SRR6854573,SRR6907237	79
SRR6854606,SRR6869396	74
SRR6854602,SRR6869051	73
SRR6854721,SRR6854725	71
SRR6854595,SRR6873775	67
SRR6869031,SRR6869054	65
SRR6854583,SRR6869038	60
SRR6854603,SRR6869023	58
SRR6854604,SRR6869399	57
SRR6854586,SRR6869055	56
SRR6854589,SRR6869053	55
SRR6854584,SRR6873782	44
SRR6854576,SRR6854601	44
SRR6854722,SRR6869050	41
SRR6854572,SRR6907236	39
SRR6854596,SRR6854715	37
SRR6854726,SRR6869045	31
SRR6854577,SRR6873786	28
SRR6854581,SRR6854716	24
SRR6854585,SRR6854724	24
SRR6869029,SRR6869044	21
SRR6854713,SRR6869032	17
SRR6854588,SRR6854592	17
SRR6854593,SRR6869037	13
SRR6854600,SRR6869025	7
SRR6854591,SRR6869027	6
SRR6854598,SRR6869030	4
SRR6854717,SRR6869033	2
SRR6854597,SRR6869028	2
SRR6854599,SRR6869026	1
