samples	targets
SRR6877507,SRR6877510	14777
SRR6877509,SRR6877515	14305
SRR6877514,SRR6877516	12649
SRR6869390,SRR6869392	2412
SRR6873785,SRR6877517	1588
SRR6854711,SRR6854719	915
SRR6869048,SRR6877513	829
SRR6869047,SRR6877512	632
SRR6854712,SRR6854718	579
SRR6869046,SRR6877511	574
SRR6854590,SRR6869388	475
SRR6854714,SRR6854723	462
SRR6854721,SRR6854725	440
SRR6869036,SRR6877508	414
SRR6854574,SRR6854709	369
SRR6854594,SRR6854710	287
SRR6869034,SRR6869387	280
SRR6854575,SRR6873776	261
SRR6869042,SRR6869394	259
SRR6854582,SRR6854720	250
SRR6854605,SRR6869039	244
SRR6854580,SRR6873783	234
SRR6854571,SRR6869395	218
SRR6869041,SRR6873781	210
SRR6869040,SRR6869398	209
SRR6869043,SRR6873784	205
SRR6854587,SRR6869049	198
SRR6869397,SRR6877520	196
SRR6869389,SRR6869391	183
SRR6854583,SRR6869038	177
SRR6854607,SRR6873778	169
SRR6854602,SRR6869051	161
SRR6869024,SRR6873777	154
SRR6854586,SRR6869055	153
SRR6869052,SRR6877506	153
SRR6869031,SRR6869054	152
SRR6854606,SRR6869396	152
SRR6854596,SRR6854715	148
SRR6854578,SRR6873780	139
SRR6854579,SRR6873779	139
SRR6854584,SRR6873782	133
SRR6854576,SRR6854601	131
SRR6854604,SRR6869399	126
SRR6854713,SRR6869032	124
SRR6854589,SRR6869053	121
SRR6877521,SRR6907238	120
SRR6854595,SRR6873775	117
SRR6854603,SRR6869023	114
SRR6854573,SRR6907237	103
SRR6854585,SRR6854724	96
SRR6854722,SRR6869050	93
SRR6854581,SRR6854716	91
SRR6854726,SRR6869045	89
SRR6854588,SRR6854592	84
SRR6869029,SRR6869044	77
SRR6854577,SRR6873786	77
SRR6854593,SRR6869037	59
SRR6854600,SRR6869025	59
SRR6854572,SRR6907236	51
SRR6854598,SRR6869030	47
SRR6854717,SRR6869033	47
SRR6854599,SRR6869026	43
SRR6854591,SRR6869027	37
SRR6854597,SRR6869028	21
