name	run_set	phylum	completed_coassemblies	total_targets
target_1	1	p__RBG-13-61-14	1	24
target_1	1	p__Undinarchaeota	1	30
target_1	1	p__DUMJ01	1	34
target_1	1	p__DRYD01	3	486
target_1	1	p__SpSt-1190	2	25
target_1	1	p__T1Sed10-126	1	21
target_1	1	p__Goldbacteria	4	90
target_1	1	p__Thermosulfidibacterota	2	26
target_1	1	p__UBP17	1	20
target_1	1	p__Abyssobacteria	1	22
target_1	1	p__Desulfobacterota_C	1	68
target_1	1	p__Moduliflexota	4	35
target_1	1	p__Dictyoglomota	2	25
target_1	1	p__JANLFM01	1	36
target_1	1	p__JAAXVQ01	6	23
target_1	1	p__UBP7	1	28
target_1	1	p__Tectomicrobia	2	25
target_1	1	p__Mcinerneyibacteriota	2	35
target_1	1	p__JABMQX01	2	38
target_1	1	p__CLD3	1	34
target_1	1	p__NPL-UPA2	1	111
target_1	1	p__Auribacterota	1	22
target_1	1	p__CSSED10-310	2	36
target_1	1	p__PUNC01	2	70
target_1	1	p__UBA6262	1	21
target_2	2	p__FCPU426	2	38
target_2	2	p__Undinarchaeota	1	30
target_2	2	p__Goldbacteria	2	80
target_2	2	p__NPL-UPA2	1	69
target_2	2	p__PUNC01	3	48
target_3	3	p__Wallbacteria	1	12
target_3	3	p__JACPWU01	1	17
target_3	3	p__JADJOY01	1	10
target_3	3	p__JAGLTZ01	2	12
target_3	3	p__UBP4	1	15
target_3	3	p__FCPU426	1	14
target_3	3	p__Undinarchaeota	2	21
target_3	3	p__SZUA-182	1	12
target_3	3	p__GCA-001730085	5	17
target_3	3	p__JAGOBX01	1	11
target_3	3	p__JACRDZ01	1	13
target_3	3	p__UBA1439	5	16
target_3	3	p__UBP15	1	12
target_3	3	p__DRYD01	1	14
target_3	3	p__T1Sed10-126	2	14
target_3	3	p__RUG730	4	13
target_3	3	p__Goldbacteria	2	61
target_3	3	p__UBP17	2	12
target_3	3	p__CG2-30-53-67	1	15
target_3	3	p__CAIJMQ01	5	15
target_3	3	p__Abyssobacteria	2	10
target_3	3	p__GCA-2686955	1	13
target_3	3	p__VGIX01	5	18
target_3	3	p__Moduliflexota	1	10
target_3	3	p__JADFOP01	2	19
target_3	3	p__JANLFM01	1	11
target_3	3	p__JAAXVQ01	2	17
target_3	3	p__JACIXR01	1	13
target_3	3	p__Tectomicrobia	2	18
target_3	3	p__Mcinerneyibacteriota	2	12
target_3	3	p__JABMQX01	2	16
target_3	3	p__CLD3	2	16
target_3	3	p__NPL-UPA2	2	43
target_3	3	p__CSSED10-310	1	17
target_3	3	p__PUNC01	2	18
target_3	3	p__UBA6262	2	12
target_4	4	p__JACPWU01	1	12
target_4	4	p__JAGLTZ01	2	11
target_4	4	p__UBP4	2	13
target_4	4	p__FCPU426	2	13
target_4	4	p__Undinarchaeota	2	18
target_4	4	p__GCA-001730085	5	17
target_4	4	p__RUG730	4	11
target_4	4	p__Goldbacteria	3	51
target_4	4	p__CAIJMQ01	1	11
target_4	4	p__Abyssobacteria	1	10
target_4	4	p__VGIX01	3	16
target_4	4	p__JADFOP01	2	13
target_4	4	p__JAAXVQ01	4	16
target_4	4	p__Tectomicrobia	1	13
target_4	4	p__CLD3	2	10
target_4	4	p__NPL-UPA2	1	15
target_4	4	p__PUNC01	2	15
target_5	5	p__TA06	2	3
target_5	5	p__Wallbacteria	1	2
target_5	5	p__JACPWU01	2	3
target_5	5	p__Calescibacterota	2	2
target_5	5	p__JADJOY01	2	9
target_5	5	p__UBP18	2	4
target_5	5	p__JAGLTZ01	2	5
target_5	5	p__FCPU426	2	6
target_5	5	p__Undinarchaeota	2	2
target_5	5	p__JAGOEH01	1	2
target_5	5	p__SZUA-182	2	2
target_5	5	p__Desantisbacteria	2	3
target_5	5	p__Muirbacteria	1	2
target_5	5	p__SLNR01	2	3
target_5	5	p__JABDJQ01	2	2
target_5	5	p__RBG-13-66-14	2	4
target_5	5	p__UBA8481	2	7
target_5	5	p__JACRDZ01	1	9
target_5	5	p__UBA1439	2	3
target_5	5	p__UBP15	1	4
target_5	5	p__T1SED10-198M	2	2
target_5	5	p__DRYD01	2	4
target_5	5	p__JACRDV01	2	2
target_5	5	p__Nitrospinota_B	2	3
target_5	5	p__T1Sed10-126	2	5
target_5	5	p__RUG730	2	3
target_5	5	p__Goldbacteria	2	5
target_5	5	p__CAKKQC01	2	8
target_5	5	p__JAHJDO01	2	4
target_5	5	p__UBP17	2	6
target_5	5	p__CG2-30-53-67	2	6
target_5	5	p__Schekmanbacteria	2	3
target_5	5	p__JAGRBM01	2	2
target_5	5	p__CAIJMQ01	2	7
target_5	5	p__JACPQY01	2	2
target_5	5	p__Abyssobacteria	2	8
target_5	5	p__JAFGBW01	2	3
target_5	5	p__Desulfobacterota_C	2	7
target_5	5	p__JAKLEM01	1	2
target_5	5	p__Moduliflexota	2	4
target_5	5	p__TA06_A	2	3
target_5	5	p__B130-G9	1	2
target_5	5	p__HKB111	1	7
target_5	5	p__AUK180	1	5
target_5	5	p__ARS69	2	5
target_5	5	p__DYJV01	2	5
target_5	5	p__JANLFM01	2	9
target_5	5	p__JAAXVQ01	2	3
target_5	5	p__JACIXR01	2	9
target_5	5	p__UBP7	1	2
target_5	5	p__Chrysiogenota	1	3
target_5	5	p__Mcinerneyibacteriota	2	7
target_5	5	p__JACPUC01	1	2
target_5	5	p__JABMQX01	2	3
target_5	5	p__4572-55	2	5
target_5	5	p__CLD3	2	4
target_5	5	p__Nitrospirota_B	1	2
target_5	5	p__J088	1	2
target_5	5	p__NPL-UPA2	2	7
target_5	5	p__CSSED10-310	2	7
target_5	5	p__PUNC01	2	8
target_5	5	p__UBA6262	1	3
target_5	5	p__BS750m-G34	2	5
target_5	5	p__JAJYCY01	1	2
