target	domain	phyla	class	order	family	genus	species	strain
4572-55	d__Bacteria	0	0	0	0	1	0	0
ARS69	d__Bacteria	0	0	0	0	0	2	0
AUK180	d__Bacteria	0	0	0	0	0	1	0
Abyssobacteria	d__Bacteria	0	0	0	3	1	2	0
Auribacterota	d__Bacteria	0	0	0	0	3	0	0
B130-G9	d__Bacteria	0	2	0	0	0	2	1
BS750m-G34	d__Archaea	0	0	0	0	0	0	0
BS750m-G34	d__Bacteria	0	0	0	0	0	0	0
CAIJMQ01	d__Bacteria	0	0	0	1	1	3	2
CAKKQC01	d__Bacteria	0	0	0	0	2	1	0
CG2-30-53-67	d__Bacteria	0	0	0	0	2	3	2
CLD3	d__Bacteria	0	0	0	4	3	3	2
CSSED10-310	d__Bacteria	0	0	2	1	0	2	1
Calescibacterota	d__Bacteria	0	0	0	0	0	1	2
Chrysiogenota	d__Archaea	0	0	0	0	0	0	0
Chrysiogenota	d__Bacteria	0	0	0	0	0	0	0
DRYD01	d__Bacteria	0	0	0	0	0	0	2
DUMJ01	d__Bacteria	0	0	0	0	1	1	1
DYJV01	d__Bacteria	0	0	0	0	4	1	0
Desantisbacteria	d__Bacteria	0	0	0	0	0	0	2
Desulfobacterota_C	d__Bacteria	0	0	0	0	7	3	0
Dictyoglomota	d__Bacteria	0	0	0	0	0	2	3
FCPU426	d__Bacteria	0	0	0	0	12	3	0
GCA-001730085	d__Bacteria	0	0	1	0	1	0	0
GCA-2686955	d__Bacteria	0	0	1	0	0	2	0
GEM_b15	d__Archaea	0	0	0	0	0	0	0
GEM_b15	d__Bacteria	0	0	0	0	0	0	0
Goldbacteria	d__Bacteria	0	0	0	0	7	3	2
HKB111	d__Archaea	0	0	0	0	0	0	0
HKB111	d__Bacteria	0	0	0	0	0	0	0
J088	d__Bacteria	0	0	0	0	1	0	0
JAAXVQ01	d__Bacteria	0	0	0	0	3	2	0
JABDJQ01	d__Bacteria	0	0	0	0	2	0	0
JABMQX01	d__Bacteria	0	0	0	0	3	6	1
JACIXR01	d__Bacteria	0	0	1	0	1	1	0
JACPQY01	d__Bacteria	0	0	0	0	0	0	1
JACPUC01	d__Bacteria	0	0	0	0	0	0	1
JACPWU01	d__Bacteria	0	0	0	0	1	0	2
JACRDV01	d__Archaea	0	0	1	0	0	0	0
JACRDZ01	d__Bacteria	0	0	0	0	1	0	1
JADFOP01	d__Bacteria	0	0	0	0	1	0	2
JADJOY01	d__Bacteria	0	0	1	0	0	5	0
JAFGBW01	d__Bacteria	0	2	0	0	2	0	0
JAGLTZ01	d__Bacteria	0	0	0	3	3	1	0
JAGOBX01	d__Bacteria	0	0	1	0	1	1	2
JAGOEH01	d__Bacteria	0	0	0	1	1	0	0
JAGRBM01	d__Bacteria	0	0	1	0	0	3	0
JAHJDO01	d__Bacteria	0	0	0	0	0	3	1
JAJYCY01	d__Bacteria	0	0	0	0	2	0	0
JAKLEM01	d__Bacteria	0	0	2	0	0	0	1
JANLFM01	d__Bacteria	0	0	0	0	1	2	1
Mcinerneyibacteriota	d__Bacteria	0	0	0	0	4	3	2
Moduliflexota	d__Bacteria	0	0	0	0	1	5	0
Muirbacteria	d__Archaea	0	0	0	0	0	0	0
Muirbacteria	d__Bacteria	0	0	0	0	0	0	0
NPL-UPA2	d__Bacteria	0	0	0	0	5	2	1
Nitrospinota_B	d__Archaea	0	0	0	0	0	0	0
Nitrospinota_B	d__Bacteria	0	0	0	0	0	0	0
Nitrospirota_B	d__Bacteria	0	0	0	1	0	1	0
PUNC01	d__Bacteria	0	0	0	6	1	5	1
RBG-13-61-14	d__Bacteria	0	0	6	2	3	0	1
RBG-13-66-14	d__Bacteria	0	0	0	0	1	5	5
RUG730	d__Bacteria	0	0	0	0	1	0	0
SLNR01	d__Bacteria	0	0	0	1	2	0	0
SPIRE_a1	d__Archaea	0	0	0	0	0	0	0
SPIRE_a1	d__Bacteria	0	0	0	0	0	0	0
SPIRE_a2	d__Archaea	0	0	0	0	0	0	0
SPIRE_a2	d__Bacteria	0	0	0	0	0	0	0
SPIRE_a4	d__Archaea	0	0	0	0	0	0	0
SPIRE_a4	d__Bacteria	0	0	0	0	0	0	0
SPIRE_a5	d__Archaea	0	0	0	0	0	0	0
SPIRE_a5	d__Bacteria	0	0	0	0	0	0	0
SPIRE_b11	d__Archaea	0	0	0	0	0	0	0
SPIRE_b11	d__Bacteria	0	0	0	0	0	0	0
SPIRE_b14	d__Archaea	0	0	0	0	0	0	0
SPIRE_b14	d__Bacteria	0	0	0	0	0	0	0
SPIRE_b24	d__Archaea	0	0	0	0	0	0	0
SPIRE_b24	d__Bacteria	0	0	0	0	0	0	0
SPIRE_b26	d__Archaea	0	0	0	0	0	0	0
SPIRE_b26	d__Bacteria	0	0	0	0	0	0	0
SPIRE_b3	d__Archaea	0	0	0	0	0	0	0
SPIRE_b3	d__Bacteria	0	0	0	0	0	0	0
SPIRE_b6	d__Archaea	0	0	0	0	0	0	0
SPIRE_b6	d__Bacteria	0	0	0	0	0	0	0
SZUA-182	d__Bacteria	0	0	0	1	0	0	1
Schekmanbacteria	d__Bacteria	0	0	0	0	0	1	0
