sci_name	group	metagroup	host_or_not
groundwater metagenome	groundwater	aquatic	not_host
wastewater metagenome	wastewater	aquatic	not_host
bioreactor metagenome	bioreactor	engineered	not_host
marine metagenome	marine	aquatic	not_host
hydrothermal vent metagenome	hydrothermal vent	aquatic	not_host
activated sludge metagenome	activated sludge	engineered	not_host
freshwater metagenome	freshwater	aquatic	not_host
microbial mat metagenome	microbial mat	terrestrial	not_host
gut metagenome	gut	host	host
human feces metagenome	gut	host	host
human gut metagenome	gut	host	host
sediment metagenome	sediment	terrestrial	not_host
soil metagenome	soil	terrestrial	not_host
salt marsh metagenome	salt marsh	terrestrial	not_host
marine sediment metagenome	marine sediment	aquatic	not_host
hot springs metagenome	hot springs	aquatic	not_host
sludge metagenome	engineered (other)	engineered	not_host
anaerobic digester metagenome	engineered (other)	engineered	not_host
seawater metagenome	aquatic (other)	aquatic	not_host
aquatic metagenome	aquatic (other)	aquatic	not_host
landfill metagenome	terrestrial (other)	terrestrial	not_host
subsurface metagenome	aquatic (other)	aquatic	not_host
feces metagenome	gut	host	host
aquifer metagenome	aquatic (other)	aquatic	not_host
freshwater sediment metagenome	aquatic (other)	aquatic	not_host
lake water metagenome	aquatic (other)	aquatic	not_host
biofilm metagenome	engineered (other)	engineered	not_host
riverine metagenome	aquatic (other)	aquatic	not_host
rock metagenome	terrestrial (other)	terrestrial	not_host
bioreactor sludge metagenome	engineered (other)	engineered	not_host
aquaculture metagenome	engineered (other)	engineered	not_host
mine drainage metagenome	engineered (other)	engineered	not_host
salt lake metagenome	aquatic (other)	aquatic	not_host
stromatolite metagenome	terrestrial (other)	terrestrial	not_host
compost metagenome	terrestrial (other)	terrestrial	not_host
fish gut metagenome	host (other)	host	host
soda lake metagenome	aquatic (other)	aquatic	not_host
marine plankton metagenome	aquatic (other)	aquatic	not_host
rhizosphere metagenome	terrestrial (other)	terrestrial	not_host
electrolysis cell metagenome	engineered (other)	engineered	not_host
rat gut metagenome	host (other)	host	host
wetland metagenome	aquatic (other)	aquatic	not_host
peat metagenome	terrestrial (other)	terrestrial	not_host
sponge metagenome	host (other)	host	host
manure metagenome	terrestrial (other)	terrestrial	not_host
biofilter metagenome	engineered (other)	engineered	not_host
cold seep metagenome	aquatic (other)	aquatic	not_host
sand metagenome	terrestrial (other)	terrestrial	not_host
permafrost metagenome	terrestrial (other)	terrestrial	not_host
epibiont metagenome	host (other)	host	host
hydrocarbon metagenome	terrestrial (other)	terrestrial	not_host
crustacean metagenome	host (other)	host	host
industrial waste metagenome	engineered (other)	engineered	not_host
estuary metagenome	aquatic (other)	aquatic	not_host
beaver gut metagenome	host (other)	host	host
synthetic metagenome	engineered (other)	engineered	not_host
drinking water metagenome	engineered (other)	engineered	not_host
microbial eukaryotic metagenome	host (other)	host	host
pond metagenome	aquatic (other)	aquatic	not_host
algae metagenome	aquatic (other)	aquatic	not_host
mangrove metagenome	aquatic (other)	aquatic	not_host
plant metagenome	host (other)	host	host
saltern metagenome	aquatic (other)	aquatic	not_host
plastic metagenome	engineered (other)	engineered	not_host
lagoon metagenome	aquatic (other)	aquatic	not_host
termite gut metagenome	host (other)	host	host
surface metagenome	terrestrial (other)	terrestrial	not_host
macroalgae metagenome	host (other)	host	host
fish metagenome	host (other)	host	host
fossil metagenome	terrestrial (other)	terrestrial	not_host
invertebrate metagenome	host (other)	host	host
protist metagenome	host (other)	host	host
salt mine metagenome	engineered (other)	engineered	not_host
insect metagenome	host (other)	host	host
mollusc metagenome	host (other)	host	host
alkali sediment metagenome	terrestrial (other)	terrestrial	not_host
beach sand metagenome	terrestrial (other)	terrestrial	not_host
bog metagenome	terrestrial (other)	terrestrial	not_host
cave metagenome	terrestrial (other)	terrestrial	not_host
coal metagenome	terrestrial (other)	terrestrial	not_host
cold spring metagenome	terrestrial (other)	terrestrial	not_host
dust metagenome	terrestrial (other)	terrestrial	not_host
glacier metagenome	terrestrial (other)	terrestrial	not_host
halite metagenome	terrestrial (other)	terrestrial	not_host
hypolithon metagenome	terrestrial (other)	terrestrial	not_host
ice metagenome	terrestrial (other)	terrestrial	not_host
