sci_name	parent_name	superparent_name
grain metagenome	organismal metagenomes	metagenomes
beetle metagenome	organismal metagenomes	metagenomes
respiratory tract metagenome	organismal metagenomes	metagenomes
oral fungal metagenome	organismal metagenomes	metagenomes
eukaryotic plankton metagenome	organismal metagenomes	metagenomes
shrimp gut metagenome	organismal metagenomes	metagenomes
human skeleton metagenome	organismal metagenomes	metagenomes
bovine metagenome	organismal metagenomes	metagenomes
pig metagenome	organismal metagenomes	metagenomes
gonad metagenome	organismal metagenomes	metagenomes
microeukaryotic metagenome	organismal metagenomes	metagenomes
oral metagenome	organismal metagenomes	metagenomes
echinoderm metagenome	organismal metagenomes	metagenomes
human brain metagenome	organismal metagenomes	metagenomes
sea anemone metagenome	organismal metagenomes	metagenomes
human reproductive system metagenome	organismal metagenomes	metagenomes
whole organism metagenome	organismal metagenomes	metagenomes
bee bread metagenome	organismal metagenomes	metagenomes
bacterioplankton metagenome	organismal metagenomes	metagenomes
bovine gut metagenome	organismal metagenomes	metagenomes
marine picoeukaryotic metagenome	organismal metagenomes	metagenomes
plant metagenome	organismal metagenomes	metagenomes
bat gut metagenome	organismal metagenomes	metagenomes
urine metagenome	organismal metagenomes	metagenomes
insect gut metagenome	organismal metagenomes	metagenomes
fish metagenome	organismal metagenomes	metagenomes
bat metagenome	organismal metagenomes	metagenomes
flower metagenome	organismal metagenomes	metagenomes
vaginal metagenome	organismal metagenomes	metagenomes
human skin metagenome	organismal metagenomes	metagenomes
shark metagenome	organismal metagenomes	metagenomes
algal bloom metagenome	organismal metagenomes	metagenomes
liver metagenome	organismal metagenomes	metagenomes
human feces metagenome	organismal metagenomes	metagenomes
goat gut metagenome	organismal metagenomes	metagenomes
microeukaryotic plankton metagenome	organismal metagenomes	metagenomes
rat metagenome	organismal metagenomes	metagenomes
granuloma metagenome	organismal metagenomes	metagenomes
oyster metagenome	organismal metagenomes	metagenomes
human nasopharyngeal metagenome	organismal metagenomes	metagenomes
ear metagenome	organismal metagenomes	metagenomes
