step	unique
240	219942.4
480	438403.2
720	665279.2
960	878557.4
1200	1097759.4
1440	1313523.8
1680	1522878.6
1920	1746693.4
2160	1965165.6
2400	2182035.4
2640	2408568.0
2880	2606933.2
3120	2865627.6
3360	3049198.0
3600	3310520.2
3840	3484408.6
4080	3718105.2
4320	3928736.0
4560	4139458.6
4800	4310122.0
5040	4555742.8
5280	4789717.8
5520	4992031.8
5760	5226691.6
6000	5444396.2
6240	5621304.2
6480	5841036.2
6720	6084438.6
6960	6241561.4
7200	6496241.2
7440	6706566.6
7680	6884865.8
7920	7133524.2
8160	7353780.2
8400	7520104.4
8640	7735724.4
8880	7928343.8
9120	8168804.4
9360	8367605.0
9600	8629040.2
9840	8818223.2
10080	9034536.6
10320	9239543.4
10560	9488249.0
10800	9618834.0
11040	9831476.2
11280	10084470.6
11520	10264403.4
11760	10498716.2
12000	10715074.6
12240	10893059.8
12480	11111753.8
12720	11278010.6
12960	11526884.8
13200	11725039.0
13440	11912666.0
13680	12150322.6
13920	12342678.6
14160	12549474.0
14400	12796791.8
14640	12984628.8
14880	13212667.0
15120	13401020.6
15360	13616484.6
15600	13801900.0
15840	13988909.8
16080	14172931.0
16320	14390187.8
16560	14638446.6
16800	14843651.0
17040	15019884.6
17280	15219063.4
17520	15439080.4
17760	15593254.4
18000	15893202.0
18240	16040230.8
18480	16215914.4
18720	16432514.4
18960	16617808.6
19200	16862946.6
19440	17075602.0
19680	17239009.4
19920	17439825.8
20160	17670631.6
20400	17839801.0
20640	18036482.8
20880	18243649.8
21120	18466877.6
21360	18666982.2
21600	18845637.0
21840	19074843.8
22080	19261603.6
22320	19462396.8
22560	19658735.0
22800	19869863.4
23040	20058910.4
23280	20270794.2
23520	20466287.6
23760	20660846.8
24000	20862432.0
