step	unique
89	0.05
178	0.12
267	0.13
356	0.14
445	0.17
534	0.28
623	0.31
712	0.41
801	0.31
890	0.34
979	0.37
1068	0.45
1157	0.48
1246	0.58
1335	0.5
1424	0.58
1513	0.69
1602	0.6
1691	0.85
1780	0.76
1869	0.84
1958	0.76
2047	0.82
2136	0.89
2225	1.09
2314	0.82
2403	1.07
2492	1.18
2581	1.05
2670	1.0
2759	1.14
2848	1.16
2937	1.29
3026	1.28
3115	1.38
3204	1.18
3293	1.1
3382	1.38
3471	1.33
3560	1.4
3649	1.56
3738	1.49
3827	1.41
3916	1.43
4005	1.59
4094	1.65
4183	1.6
4272	1.78
4361	1.64
4450	1.79
4539	1.73
4628	1.79
4717	1.73
4806	1.89
4895	1.92
4984	1.92
5073	2.0
5162	1.91
5251	2.0
5340	1.96
5429	1.95
5518	2.17
5607	2.09
5696	2.12
5785	2.24
5874	2.14
5963	2.21
6052	2.3
6141	2.42
6230	2.33
6319	2.32
6408	2.32
6497	2.42
6586	2.32
6675	2.42
6764	2.52
6853	2.45
6942	2.54
7031	2.52
7120	2.59
7209	2.72
7298	2.61
7387	2.58
7476	2.7
7565	2.76
7654	2.78
7743	2.7
7832	2.74
7921	2.83
8010	2.8
8099	2.82
8188	2.77
8277	2.84
8366	2.86
8455	2.83
8544	2.88
8633	2.89
8722	2.98
8811	2.97
8900	2.97
