step	unique
94	2.1
188	5.2
282	7.3
376	7.4
470	12.5
564	11.5
658	15.5
752	16.8
846	19.2
940	21.9
1034	24.1
1128	24.9
1222	29.9
1316	28.4
1410	34.4
1504	37.7
1598	35.4
1692	38.9
1786	42.0
1880	43.9
1974	43.6
2068	46.1
2162	51.0
2256	54.6
2350	48.8
2444	55.5
2538	54.4
2632	59.3
2726	59.5
2820	64.8
2914	62.6
3008	66.2
3102	64.8
3196	70.5
3290	70.6
3384	73.1
3478	72.3
3572	72.2
3666	78.0
3760	81.3
3854	82.8
3948	84.7
4042	86.5
4136	85.3
4230	84.6
4324	88.2
4418	92.2
4512	93.3
4606	99.6
4700	97.9
4794	103.0
4888	100.6
4982	101.5
5076	102.0
5170	104.9
5264	106.1
5358	110.2
5452	111.8
5546	112.4
5640	113.8
5734	116.6
5828	114.9
5922	118.1
6016	116.9
6110	120.7
6204	124.1
6298	129.5
6392	129.4
6486	127.8
6580	131.1
6674	131.2
6768	133.8
6862	136.5
6956	137.9
7050	137.9
7144	140.4
7238	137.5
7332	140.7
7426	143.6
7520	144.3
7614	147.1
7708	150.6
7802	148.8
7896	154.0
7990	151.8
8084	154.7
8178	159.0
8272	157.1
8366	160.4
8460	160.0
8554	162.6
8648	163.6
8742	165.4
8836	165.9
8930	168.4
9024	168.0
9118	169.6
9212	172.4
9306	173.5
9400	174.8
