step	unique
94	11.7
188	23.8
282	38.6
376	47.8
470	59.6
564	71.3
658	83.4
752	89.6
846	108.3
940	117.1
1034	128.9
1128	143.0
1222	149.6
1316	166.5
1410	177.1
1504	185.2
1598	193.3
1692	207.3
1786	224.7
1880	233.1
1974	236.5
2068	248.4
2162	260.4
2256	273.2
2350	285.4
2444	299.5
2538	301.3
2632	327.9
2726	334.1
2820	347.1
2914	354.0
3008	358.2
3102	377.2
3196	377.9
3290	401.7
3384	409.9
3478	418.1
3572	432.9
3666	442.0
3760	451.4
3854	470.1
3948	477.2
4042	485.2
4136	498.5
4230	500.2
4324	512.2
4418	525.3
4512	542.2
4606	547.2
4700	567.9
4794	567.9
4888	581.8
4982	590.3
5076	589.3
5170	611.3
5264	619.4
5358	628.5
5452	646.5
5546	649.5
5640	661.2
5734	681.0
5828	682.2
5922	687.8
6016	703.6
6110	719.2
6204	722.8
6298	741.7
6392	744.9
6486	752.2
6580	773.0
6674	775.3
6768	784.7
6862	798.3
6956	799.9
7050	808.2
7144	829.7
7238	831.7
7332	841.6
7426	848.6
7520	857.7
7614	867.5
7708	875.3
7802	883.3
7896	900.9
7990	906.1
8084	918.7
8178	929.1
8272	937.0
8366	946.3
8460	959.6
8554	964.5
8648	979.9
8742	983.5
8836	994.3
8930	1003.2
9024	1011.3
9118	1020.2
9212	1030.2
9306	1040.3
9400	1050.0
