step	unique
94	0.26
188	0.6
282	0.85
376	1.24
470	1.52
564	1.67
658	1.85
752	2.59
846	2.78
940	3.16
1034	2.85
1128	3.53
1222	3.84
1316	4.22
1410	4.54
1504	4.82
1598	5.31
1692	5.64
1786	5.66
1880	6.04
1974	6.23
2068	6.56
2162	6.58
2256	7.36
2350	6.84
2444	7.92
2538	8.0
2632	8.35
2726	8.4
2820	8.75
2914	8.7
3008	9.07
3102	9.41
3196	9.9
3290	10.48
3384	10.32
3478	10.6
3572	10.72
3666	11.62
3760	11.3
3854	11.64
3948	11.71
4042	12.3
4136	12.21
4230	12.73
4324	12.73
4418	13.27
4512	13.98
4606	13.95
4700	14.16
4794	14.35
4888	14.54
4982	14.81
5076	15.82
5170	15.64
5264	15.4
5358	16.28
5452	16.11
5546	16.74
5640	16.39
5734	17.31
5828	17.45
5922	16.97
6016	17.47
6110	18.05
6204	18.52
6298	18.71
6392	18.87
6486	19.12
6580	18.78
6674	19.89
6768	19.97
6862	19.98
6956	20.13
7050	20.35
7144	20.24
7238	21.21
7332	21.11
7426	21.58
7520	21.6
7614	21.69
7708	21.8
7802	22.14
7896	22.56
7990	22.63
8084	22.91
8178	23.06
8272	23.3
8366	23.94
8460	23.96
8554	23.71
8648	24.41
8742	24.45
8836	24.79
8930	24.75
9024	25.06
9118	25.42
9212	25.52
9306	25.65
9400	25.98
