step	unique
94	24.2
188	50.9
282	77.7
376	105.0
470	130.5
564	153.1
658	172.1
752	212.0
846	230.3
940	255.4
1034	283.6
1128	305.1
1222	333.0
1316	359.5
1410	377.5
1504	401.6
1598	430.0
1692	454.4
1786	480.4
1880	516.9
1974	533.6
2068	565.2
2162	586.5
2256	603.9
2350	640.6
2444	649.4
2538	683.5
2632	713.9
2726	733.7
2820	760.1
2914	785.6
3008	816.6
3102	840.7
3196	875.1
3290	878.8
3384	927.4
3478	947.0
3572	962.3
3666	992.5
3760	1019.7
3854	1038.2
3948	1074.9
4042	1100.6
4136	1129.5
4230	1136.3
4324	1174.2
4418	1202.2
4512	1218.8
4606	1243.1
4700	1263.1
4794	1303.7
4888	1332.8
4982	1350.3
5076	1377.4
5170	1404.9
5264	1431.8
5358	1440.6
5452	1472.0
5546	1512.5
5640	1517.1
5734	1542.8
5828	1583.4
5922	1601.1
6016	1632.1
6110	1658.9
6204	1683.2
6298	1703.0
6392	1721.2
6486	1752.6
6580	1781.1
6674	1803.8
6768	1834.1
6862	1869.2
6956	1885.9
7050	1914.2
7144	1935.3
7238	1951.6
7332	1979.2
7426	2013.1
7520	2038.1
7614	2068.0
7708	2086.2
7802	2117.7
7896	2139.4
7990	2167.5
8084	2195.1
8178	2215.4
8272	2248.3
8366	2270.6
8460	2295.6
8554	2317.5
8648	2343.7
8742	2366.9
8836	2394.1
8930	2418.3
9024	2445.4
9118	2472.0
9212	2496.9
9306	2522.6
9400	2548.0
