step	unique
648	0.53
1296	0.96
1944	1.52
2592	2.31
3240	2.84
3888	3.05
4536	3.65
5184	4.12
5832	4.3
6480	4.78
7128	5.26
7776	5.99
8424	6.16
9072	7.53
9720	7.33
10368	7.67
11016	8.47
11664	9.2
12312	9.07
12960	9.67
13608	9.65
14256	10.67
14904	10.87
15552	11.38
16200	12.54
16848	12.33
17496	13.3
18144	12.94
18792	13.58
19440	14.36
20088	14.46
20736	14.47
21384	15.32
22032	15.98
22680	16.24
23328	16.83
23976	16.68
24624	17.18
25272	18.49
25920	17.77
26568	18.97
27216	18.6
27864	19.28
28512	19.44
29160	20.04
29808	21.05
30456	20.81
31104	21.47
31752	21.16
32400	21.41
33048	22.75
33696	23.11
34344	23.68
34992	23.51
35640	24.11
36288	24.08
36936	24.52
37584	24.35
38232	24.76
38880	25.68
39528	26.25
40176	26.09
40824	26.24
41472	26.85
42120	27.28
42768	27.62
43416	27.88
44064	27.99
44712	28.73
45360	28.92
46008	29.13
46656	29.05
47304	29.5
47952	30.34
48600	29.91
49248	29.82
49896	30.56
50544	31.34
51192	31.13
51840	31.34
52488	32.17
53136	32.49
53784	32.89
54432	32.54
55080	33.14
55728	33.35
56376	33.75
57024	33.85
57672	34.2
58320	34.49
58968	34.76
59616	35.11
60264	35.19
60912	35.52
61560	35.79
62208	35.93
62856	36.19
63504	36.51
64152	36.69
64800	36.99
