step	unique
679	17.6
1358	33.1
2037	47.0
2716	68.3
3395	83.8
4074	98.3
4753	111.2
5432	131.6
6111	150.2
6790	166.9
7469	175.9
8148	191.8
8827	198.8
9506	218.2
10185	237.9
10864	255.3
11543	268.1
12222	280.7
12901	295.3
13580	321.7
14259	333.0
14938	338.2
15617	358.3
16296	369.2
16975	387.0
17654	393.3
18333	413.6
19012	424.7
19691	435.3
20370	445.9
21049	467.4
21728	481.4
22407	494.4
23086	511.9
23765	517.3
24444	535.2
25123	545.0
25802	561.3
26481	581.9
27160	586.1
27839	596.8
28518	624.1
29197	629.2
29876	644.4
30555	656.1
31234	667.7
31913	683.5
32592	695.4
33271	704.8
33950	726.7
34629	735.6
35308	754.2
35987	761.4
36666	760.4
37345	781.4
38024	792.8
38703	807.4
39382	816.7
40061	834.7
40740	837.2
41419	857.1
42098	873.2
42777	882.4
43456	889.8
44135	904.1
44814	916.9
45493	928.3
46172	944.1
46851	947.1
47530	955.1
48209	969.6
48888	985.2
49567	997.6
50246	1007.4
50925	1021.9
51604	1033.8
52283	1042.1
52962	1052.7
53641	1064.6
54320	1082.7
54999	1095.4
55678	1100.8
56357	1114.3
57036	1121.3
57715	1129.5
58394	1146.0
59073	1160.0
59752	1173.4
60431	1180.0
61110	1188.7
61789	1198.3
62468	1210.5
63147	1221.7
63826	1234.9
64505	1244.7
65184	1255.0
65863	1266.8
66542	1276.7
67221	1286.0
67900	1297.7
