step	unique
679	99.4
1358	211.3
2037	311.0
2716	407.8
3395	518.9
4074	612.7
4753	703.7
5432	808.6
6111	911.8
6790	1001.1
7469	1111.4
8148	1204.6
8827	1318.4
9506	1418.6
10185	1492.9
10864	1611.6
11543	1709.2
12222	1809.1
12901	1902.7
13580	1997.2
14259	2101.1
14938	2189.1
15617	2286.9
16296	2395.8
16975	2451.5
17654	2566.5
18333	2683.2
19012	2765.2
19691	2844.9
20370	2958.5
21049	3023.1
21728	3121.2
22407	3249.7
23086	3326.0
23765	3417.8
24444	3492.0
25123	3610.4
25802	3701.2
26481	3784.0
27160	3882.3
27839	3942.7
28518	4081.9
29197	4163.1
29876	4230.8
30555	4344.0
31234	4419.0
31913	4529.2
32592	4606.6
33271	4688.7
33950	4774.3
34629	4844.5
35308	4947.9
35987	5070.1
36666	5138.6
37345	5220.0
38024	5285.1
38703	5428.6
39382	5503.7
40061	5583.0
40740	5671.1
41419	5776.1
42098	5830.1
42777	5929.8
43456	6029.3
44135	6092.9
44814	6153.4
45493	6278.4
46172	6363.5
46851	6460.9
47530	6534.4
48209	6600.9
48888	6664.1
49567	6758.7
50246	6860.8
50925	6952.1
51604	7021.1
52283	7126.9
52962	7197.6
53641	7301.4
54320	7362.4
54999	7461.0
55678	7530.4
56357	7608.5
57036	7677.7
57715	7770.9
58394	7863.7
59073	7934.9
59752	8010.0
60431	8097.0
61110	8176.8
61789	8260.4
62468	8332.8
63147	8415.8
63826	8502.3
64505	8584.1
65184	8661.7
65863	8744.2
66542	8823.6
67221	8904.3
67900	8981.3
