step	unique
648	2.85
1296	5.76
1944	8.79
2592	11.58
3240	14.24
3888	16.23
4536	18.23
5184	21.71
5832	24.74
6480	26.86
7128	30.27
7776	31.58
8424	34.34
9072	36.27
9720	40.46
10368	42.75
11016	44.54
11664	47.59
12312	48.97
12960	51.54
13608	53.99
14256	56.46
14904	57.98
15552	61.34
16200	64.19
16848	66.21
17496	69.83
18144	71.22
18792	73.62
19440	75.34
20088	77.92
20736	79.89
21384	82.02
22032	83.98
22680	85.93
23328	89.05
23976	91.73
24624	92.64
25272	95.07
25920	98.41
26568	98.0
27216	102.16
27864	103.99
28512	106.76
29160	108.27
29808	109.87
30456	111.53
31104	114.02
31752	117.01
32400	118.89
33048	121.4
33696	122.33
34344	125.59
34992	125.77
35640	128.61
36288	133.54
36936	133.41
37584	135.42
38232	137.52
38880	139.42
39528	140.23
40176	144.23
40824	144.83
41472	146.71
42120	149.8
42768	150.01
43416	153.01
44064	154.33
44712	156.8
45360	159.29
46008	159.32
46656	161.87
47304	165.39
47952	165.27
48600	167.6
49248	168.9
49896	172.5
50544	173.66
51192	174.97
51840	177.11
52488	177.82
53136	180.62
53784	182.73
54432	184.05
55080	186.4
55728	187.35
56376	189.79
57024	191.68
57672	193.36
58320	194.62
58968	196.65
59616	198.54
60264	200.33
60912	201.2
61560	203.54
62208	205.39
62856	206.63
63504	208.78
64152	210.2
64800	211.94
