step	unique
679	0.12
1358	0.27
2037	0.34
2716	0.44
3395	0.63
4074	0.61
4753	0.83
5432	0.8
6111	0.99
6790	1.11
7469	1.13
8148	1.27
8827	1.2
9506	1.43
10185	1.51
10864	1.87
11543	1.72
12222	1.92
12901	1.95
13580	1.9
14259	2.19
14938	2.0
15617	2.45
16296	2.46
16975	2.51
17654	2.66
18333	2.64
19012	2.73
19691	2.87
20370	3.05
21049	3.11
21728	3.01
22407	3.28
23086	3.1
23765	3.31
24444	3.46
25123	3.73
25802	3.81
26481	3.71
27160	3.89
27839	3.76
28518	4.03
29197	4.0
29876	4.14
30555	3.96
31234	4.28
31913	4.19
32592	4.23
33271	4.39
33950	4.55
34629	4.58
35308	4.71
35987	4.76
36666	4.89
37345	4.94
38024	4.97
38703	5.17
39382	5.18
40061	5.15
40740	4.99
41419	5.15
42098	5.33
42777	5.39
43456	5.44
44135	5.26
44814	5.47
45493	5.45
46172	5.64
46851	5.61
47530	5.87
48209	5.72
48888	5.77
49567	6.01
50246	5.97
50925	6.06
51604	6.12
52283	6.03
52962	6.06
53641	6.14
54320	6.32
54999	6.19
55678	6.42
56357	6.39
57036	6.48
57715	6.48
58394	6.55
59073	6.53
59752	6.62
60431	6.7
61110	6.74
61789	6.73
62468	6.75
63147	6.81
63826	6.85
64505	6.92
65184	6.87
65863	6.87
66542	6.9
67221	6.98
67900	7.0
