step	unique
679	241.6
1358	489.8
2037	752.6
2716	988.3
3395	1238.8
4074	1485.8
4753	1729.8
5432	1958.7
6111	2213.4
6790	2449.3
7469	2691.9
8148	2961.0
8827	3180.7
9506	3453.5
10185	3687.4
10864	3958.2
11543	4183.1
12222	4432.7
12901	4689.3
13580	4905.6
14259	5145.9
14938	5436.6
15617	5662.3
16296	5926.1
16975	6129.5
17654	6391.5
18333	6648.8
19012	6888.2
19691	7128.5
20370	7394.5
21049	7659.3
21728	7830.4
22407	8149.4
23086	8398.2
23765	8613.3
24444	8918.5
25123	9104.7
25802	9363.4
26481	9632.2
27160	9854.2
27839	10116.4
28518	10301.9
29197	10616.5
29876	10857.9
30555	11064.3
31234	11334.7
31913	11590.7
32592	11856.6
33271	12030.7
33950	12333.1
34629	12563.3
35308	12780.9
35987	13077.6
36666	13274.0
37345	13532.9
38024	13752.3
38703	14021.5
39382	14284.7
40061	14510.0
40740	14772.4
41419	15031.9
42098	15271.6
42777	15515.2
43456	15770.7
44135	16010.8
44814	16278.1
45493	16508.5
46172	16736.1
46851	16987.8
47530	17239.2
48209	17486.8
48888	17731.5
49567	17960.8
50246	18208.8
50925	18513.8
51604	18727.6
52283	18964.1
52962	19208.3
53641	19422.5
54320	19718.8
54999	19926.4
55678	20233.4
56357	20449.5
57036	20701.5
57715	20914.9
58394	21168.9
59073	21416.2
59752	21681.9
60431	21927.7
61110	22138.8
61789	22433.9
62468	22666.3
63147	22900.1
63826	23134.8
64505	23388.9
65184	23630.6
65863	23898.5
66542	24133.0
67221	24381.4
67900	24630.9
