step	unique
7	0.04
14	0.06
21	0.12
28	0.18
35	0.14
42	0.16
49	0.31
56	0.29
63	0.3
70	0.31
77	0.28
84	0.42
91	0.51
98	0.33
105	0.5
112	0.67
119	0.63
126	0.58
133	0.6
140	0.67
147	0.69
154	0.6
161	0.75
168	0.83
175	0.74
182	0.78
189	1.11
196	1.0
203	1.02
210	0.9
217	0.9
224	1.07
231	1.03
238	0.96
245	0.96
252	1.2
259	1.3
266	1.2
273	1.31
280	1.31
287	1.35
294	1.29
301	1.56
308	1.54
315	1.49
322	1.5
329	1.51
336	1.56
343	1.58
350	1.62
357	1.63
364	1.65
371	1.57
378	1.75
385	1.68
392	1.63
399	1.74
406	1.8
413	1.87
420	1.76
427	1.89
434	1.92
441	1.95
448	1.96
455	1.92
462	2.0
469	2.06
476	2.06
483	2.03
490	1.96
497	1.99
504	2.23
511	2.16
518	2.2
525	2.2
532	2.36
539	2.16
546	2.33
553	2.27
560	2.23
567	2.33
574	2.38
581	2.41
588	2.41
595	2.49
602	2.51
609	2.6
616	2.49
623	2.51
630	2.43
637	2.64
644	2.54
651	2.62
658	2.61
665	2.62
672	2.71
679	2.74
686	2.73
693	2.73
700	2.71
707	2.73
714	2.8
721	2.8
728	2.81
735	2.92
742	2.94
749	2.95
756	2.96
763	2.91
770	2.98
777	2.96
784	2.98
