step	unique
7	1.2
14	2.4
21	4.6
28	8.7
35	12.0
42	11.2
49	13.4
56	13.3
63	17.0
70	19.6
77	20.3
84	21.5
91	21.0
98	20.9
105	29.8
112	24.9
119	29.2
126	30.5
133	31.3
140	35.3
147	38.1
154	37.6
161	39.3
168	49.8
175	45.2
182	42.8
189	46.0
196	47.8
203	52.9
210	52.4
217	53.4
224	57.1
231	57.8
238	62.2
245	63.8
252	59.6
259	63.2
266	63.8
273	69.6
280	69.6
287	70.6
294	72.2
301	71.6
308	68.9
315	80.0
322	81.9
329	82.0
336	81.9
343	82.5
350	86.7
357	84.6
364	95.0
371	92.7
378	87.0
385	92.5
392	89.0
399	92.9
406	98.0
413	99.4
420	93.5
427	102.2
434	101.5
441	102.8
448	100.8
455	110.6
462	108.5
469	114.2
476	110.1
483	117.1
490	117.6
497	120.3
504	115.7
511	120.9
518	123.1
525	119.6
532	122.3
539	124.4
546	127.7
553	122.6
560	126.7
567	133.6
574	136.0
581	133.9
588	134.5
595	129.9
602	136.6
609	136.2
616	133.3
623	139.7
630	141.7
637	142.4
644	148.3
651	149.0
658	146.7
665	147.4
672	150.2
679	150.8
686	155.8
693	158.0
700	153.6
707	156.6
714	160.2
721	160.3
728	161.8
735	162.5
742	165.2
749	167.4
756	165.1
763	166.5
770	167.8
777	171.4
784	172.4
