step	unique
7	7.1
14	28.2
21	29.1
28	44.0
35	56.5
42	58.7
49	68.1
56	75.3
63	94.0
70	92.0
77	99.7
84	131.7
91	132.2
98	127.4
105	142.6
112	147.8
119	176.8
126	177.8
133	171.9
140	187.9
147	188.0
154	209.1
161	242.2
168	214.7
175	258.5
182	260.3
189	243.6
196	299.2
203	289.8
210	274.9
217	303.6
224	325.7
231	313.5
238	341.0
245	330.5
252	361.5
259	361.8
266	371.7
273	397.1
280	406.0
287	376.7
294	418.2
301	415.6
308	434.5
315	422.6
322	452.1
329	448.7
336	457.4
343	479.2
350	477.8
357	480.3
364	497.4
371	503.3
378	519.2
385	527.6
392	526.8
399	549.1
406	563.0
413	554.9
420	592.4
427	574.1
434	572.5
441	592.3
448	601.4
455	617.0
462	622.1
469	628.0
476	650.2
483	645.9
490	660.4
497	673.1
504	670.0
511	692.7
518	705.9
525	700.2
532	709.9
539	752.2
546	728.9
553	753.6
560	754.6
567	759.5
574	768.6
581	768.8
588	789.9
595	802.6
602	823.3
609	807.9
616	822.9
623	814.4
630	829.7
637	852.7
644	846.2
651	853.2
658	865.1
665	872.4
672	885.2
679	919.9
686	907.7
693	909.6
700	941.8
