step	unique
7	0.23
14	0.51
21	0.84
28	0.95
35	1.17
42	1.52
49	1.74
56	2.01
63	2.24
70	2.35
77	3.13
84	2.98
91	3.57
98	3.71
105	4.02
112	3.59
119	4.37
126	4.07
133	4.43
140	4.19
147	5.15
154	5.79
161	5.86
168	5.97
175	6.31
182	6.36
189	6.58
196	7.51
203	7.35
210	7.23
217	7.33
224	7.68
231	7.74
238	8.35
245	8.58
252	8.72
259	8.38
266	9.11
273	9.54
280	9.61
287	10.25
294	10.25
301	10.48
308	10.59
315	11.16
322	12.03
329	11.53
336	11.42
343	12.16
350	12.07
357	12.51
364	12.33
371	12.63
378	12.92
385	12.6
392	13.94
399	13.63
406	13.66
413	13.49
420	14.21
427	14.2
434	15.44
441	14.83
448	14.98
455	16.25
462	15.47
469	15.63
476	16.2
483	15.65
490	16.81
497	16.78
504	16.81
511	16.79
518	16.98
525	17.83
532	17.45
539	18.15
546	18.14
553	18.15
560	18.48
567	18.85
574	19.13
581	19.06
588	19.16
595	19.25
602	19.95
609	19.91
616	20.3
623	20.37
630	20.83
637	21.02
644	20.74
651	21.22
658	21.26
665	21.7
672	21.43
679	21.64
686	21.94
693	22.05
700	22.26
