step	unique
7	0.0
14	0.0
21	0.0
28	0.0
35	0.0
42	0.0
49	0.0
56	0.0
63	0.0
70	0.0
77	0.0
84	0.0
91	0.0
98	0.0
105	0.0
112	0.0
119	0.0
126	0.0
133	0.0
140	0.0
147	0.0
154	0.0
161	0.0
168	0.0
175	0.0
182	0.0
189	0.0
196	0.0
203	0.0
210	0.0
217	0.0
224	0.0
231	0.0
238	0.0
245	0.0
252	0.0
259	0.0
266	0.0
273	0.0
280	0.0
287	0.0
294	0.0
301	0.0
308	0.0
315	0.0
322	0.0
329	0.0
336	0.0
343	0.0
350	0.0
357	0.0
364	0.0
371	0.0
378	0.0
385	0.0
392	0.0
399	0.0
406	0.0
413	0.0
420	0.0
427	0.0
434	0.0
441	0.0
448	0.0
455	0.0
462	0.0
469	0.0
476	0.0
483	0.0
490	0.0
497	0.0
504	0.0
511	0.0
518	0.0
525	0.0
532	0.0
539	0.0
546	0.0
553	0.0
560	0.0
567	0.0
574	0.0
581	0.0
588	0.0
595	0.0
602	0.0
609	0.0
616	0.0
623	0.0
630	0.0
637	0.0
644	0.0
651	0.0
658	0.0
665	0.0
672	0.0
679	0.0
686	0.0
693	0.0
700	0.0
