step	unique
7	17.8
14	33.0
21	55.3
28	86.7
35	117.3
42	118.0
49	133.0
56	152.0
63	184.8
70	186.1
77	184.4
84	224.6
91	238.5
98	272.8
105	285.4
112	330.1
119	368.1
126	337.3
133	377.1
140	408.6
147	365.5
154	419.3
161	413.7
168	468.6
175	489.8
182	494.6
189	500.2
196	541.2
203	538.3
210	563.1
217	565.7
224	623.1
231	603.4
238	626.4
245	630.2
252	709.2
259	681.4
266	750.9
273	747.7
280	807.6
287	844.6
294	815.3
301	817.0
308	842.2
315	845.9
322	882.1
329	931.3
336	939.6
343	937.2
350	1010.9
357	949.9
364	987.4
371	1006.5
378	1068.7
385	1039.9
392	1077.3
399	1052.4
406	1119.5
413	1117.9
420	1107.6
427	1221.9
434	1201.1
441	1250.5
448	1196.6
455	1262.7
462	1230.8
469	1300.5
476	1305.2
483	1307.9
490	1372.9
497	1281.0
504	1355.0
511	1405.7
518	1430.9
525	1435.7
532	1468.1
539	1468.3
546	1558.7
553	1513.0
560	1515.8
567	1530.5
574	1573.1
581	1629.6
588	1693.1
595	1639.3
602	1682.9
609	1702.0
616	1672.9
623	1739.5
630	1788.1
637	1753.5
644	1794.6
651	1771.1
658	1817.7
665	1824.1
672	1865.1
679	1874.2
686	1875.2
693	1925.6
700	1919.1
707	1948.4
714	1978.1
721	1984.0
728	2009.4
735	2022.9
742	2034.2
749	2087.0
756	2110.2
763	2125.3
770	2139.0
777	2151.8
784	2169.2
