step	unique
7	0.41
14	0.87
21	1.13
28	1.74
35	2.16
42	2.79
49	2.88
56	3.62
63	3.78
70	4.32
77	4.78
84	5.63
91	5.57
98	5.93
105	6.59
112	6.97
119	7.41
126	8.08
133	8.05
140	8.58
147	9.22
154	9.39
161	9.96
168	9.85
175	10.35
182	11.38
189	11.56
196	11.91
203	11.64
210	12.09
217	12.77
224	13.31
231	13.88
238	13.91
245	14.7
252	14.85
259	15.22
266	15.76
273	15.84
280	15.85
287	17.22
294	16.19
301	17.6
308	17.15
315	17.91
322	18.62
329	18.85
336	18.95
343	18.8
350	20.2
357	19.8
364	20.09
371	20.56
378	20.85
385	21.43
392	21.6
399	22.68
406	22.55
413	22.14
420	23.14
427	23.05
434	23.87
441	23.98
448	23.79
455	24.53
462	24.63
469	25.06
476	25.25
483	25.74
490	26.33
497	26.43
504	26.7
511	26.62
518	27.44
525	28.19
532	27.78
539	27.64
546	28.4
553	28.57
560	29.14
567	29.32
574	29.57
581	29.73
588	30.01
595	30.43
602	30.42
609	30.45
616	31.62
623	31.42
630	31.32
637	31.61
644	32.16
651	32.49
658	33.0
665	32.73
672	32.71
679	33.24
686	33.55
693	33.53
700	34.2
707	34.4
714	34.41
721	34.89
728	35.09
735	35.41
742	35.69
749	35.88
756	35.88
763	36.3
770	36.44
777	36.63
784	36.76
