step	unique
7	11.1
14	25.0
21	39.7
28	50.8
35	62.8
42	80.8
49	87.8
56	113.4
63	133.1
70	117.9
77	147.7
84	173.7
91	164.4
98	173.5
105	188.8
112	196.2
119	236.5
126	243.5
133	262.4
140	261.6
147	274.9
154	295.7
161	310.2
168	323.1
175	318.1
182	338.6
189	370.8
196	341.4
203	378.8
210	407.5
217	414.4
224	410.7
231	426.9
238	432.8
245	440.9
252	449.0
259	478.1
266	488.5
273	520.8
280	506.5
287	519.0
294	541.8
301	547.0
308	570.8
315	577.3
322	576.2
329	575.7
336	600.6
343	630.6
350	625.3
357	644.7
364	641.5
371	656.0
378	668.2
385	653.8
392	690.6
399	691.3
406	715.2
413	720.7
420	749.8
427	740.4
434	766.2
441	785.8
448	804.0
455	785.6
462	809.4
469	811.1
476	823.4
483	834.4
490	858.0
497	832.5
504	863.9
511	872.5
518	911.0
525	898.8
532	916.2
539	915.2
546	944.6
553	921.7
560	956.1
567	981.9
574	961.6
581	983.6
588	993.8
595	1003.9
602	1019.5
609	1028.6
616	1041.0
623	1056.8
630	1040.8
637	1069.7
644	1068.5
651	1093.1
658	1097.4
665	1099.3
672	1110.2
679	1126.1
686	1127.0
693	1154.2
700	1152.3
707	1158.2
714	1182.9
721	1183.5
728	1197.9
735	1202.4
742	1212.3
749	1220.2
756	1230.7
763	1246.9
770	1254.3
777	1264.3
784	1272.1
