step	unique
7	90.3
14	173.3
21	268.7
28	412.2
35	383.1
42	523.3
49	615.0
56	692.1
63	795.3
70	871.4
77	974.7
84	937.3
91	1041.5
98	1237.7
105	1251.4
112	1494.0
119	1426.9
126	1451.1
133	1623.4
140	1755.2
147	1883.0
154	1872.6
161	2040.5
168	2041.1
175	2077.6
182	2205.4
189	2316.5
196	2415.2
203	2472.9
210	2612.7
217	2594.9
224	2799.7
231	2816.8
238	2919.3
245	3064.3
252	3004.1
259	3100.0
266	3190.2
273	3180.7
280	3339.7
287	3491.0
294	3415.8
301	3605.5
308	3686.0
315	3775.0
322	3851.0
329	3981.6
336	4000.8
343	4093.2
350	4110.6
357	4148.4
364	4282.4
371	4406.4
378	4535.0
385	4544.2
392	4750.9
399	4701.0
406	4897.9
413	4910.0
420	4942.9
427	5099.1
434	5094.3
441	5259.3
448	5199.6
455	5287.3
462	5366.4
469	5482.3
476	5584.1
483	5714.6
490	5742.1
497	5747.5
504	5923.9
511	5895.1
518	6151.0
525	6192.5
532	6156.3
539	6284.9
546	6349.6
553	6398.0
560	6456.3
567	6565.1
574	6653.4
581	6846.1
588	6784.6
595	6903.7
602	6812.8
609	6994.2
616	7098.8
623	7114.7
630	7228.2
637	7330.6
644	7412.3
651	7493.6
658	7507.0
665	7631.5
672	7632.0
679	7750.6
686	7787.1
693	7891.9
700	7948.6
707	8089.9
714	8068.9
721	8161.5
728	8238.1
735	8310.0
742	8374.4
749	8426.0
756	8529.1
763	8616.0
770	8651.8
777	8750.9
784	8819.4
