step	unique
7	2.33
14	4.76
21	7.3
28	9.63
35	11.52
42	13.99
49	16.14
56	18.42
63	21.38
70	22.04
77	24.34
84	26.95
91	29.18
98	31.83
105	33.66
112	36.11
119	38.85
126	41.7
133	43.71
140	44.33
147	47.36
154	48.95
161	51.5
168	53.37
175	56.51
182	58.36
189	59.71
196	63.52
203	64.98
210	66.26
217	69.16
224	70.19
231	71.48
238	73.81
245	77.64
252	79.95
259	80.41
266	83.53
273	85.2
280	86.42
287	86.88
294	89.24
301	91.28
308	94.97
315	94.95
322	98.83
329	99.44
336	103.14
343	103.28
350	107.29
357	107.46
364	108.47
371	111.74
378	111.9
385	115.74
392	116.83
399	119.77
406	120.69
413	122.5
420	124.0
427	125.55
434	126.35
441	128.15
448	130.74
455	133.48
462	135.43
469	135.86
476	139.27
483	141.85
490	142.47
497	142.77
504	146.66
511	146.18
518	149.85
525	150.56
532	151.7
539	153.79
546	156.03
553	158.15
560	159.41
567	160.57
574	163.19
581	164.64
588	165.75
595	166.81
602	169.36
609	170.39
616	173.36
623	174.63
630	175.49
637	177.27
644	178.92
651	179.87
658	182.77
665	183.58
672	185.85
679	187.67
686	189.19
693	190.32
700	191.61
707	193.67
714	194.82
721	195.97
728	198.04
735	200.55
742	200.5
749	203.17
756	204.33
763	206.0
770	207.65
777	209.35
784	210.7
