step	unique
7	0.06
14	0.17
21	0.3
28	0.29
35	0.39
42	0.54
49	0.5
56	0.62
63	0.86
70	0.8
77	0.93
84	1.01
91	1.19
98	1.09
105	1.23
112	1.52
119	1.28
126	1.54
133	1.56
140	1.6
147	1.63
154	1.81
161	1.86
168	1.92
175	2.0
182	2.05
189	2.28
196	1.96
203	2.4
210	2.45
217	2.24
224	2.51
231	2.64
238	2.75
245	2.77
252	2.71
259	2.82
266	3.03
273	3.03
280	3.34
287	3.18
294	3.1
301	2.99
308	3.3
315	3.27
322	3.39
329	3.35
336	3.44
343	3.82
350	3.47
357	3.57
364	3.84
371	3.84
378	3.78
385	3.95
392	3.99
399	3.92
406	4.13
413	4.05
420	4.15
427	4.12
434	4.35
441	4.13
448	4.27
455	4.19
462	4.42
469	4.55
476	4.41
483	4.83
490	4.75
497	4.81
504	5.0
511	4.78
518	4.92
525	4.82
532	4.98
539	4.99
546	4.96
553	5.12
560	5.06
567	5.05
574	5.11
581	5.27
588	5.35
595	5.12
602	5.26
609	5.27
616	5.3
623	5.32
630	5.46
637	5.41
644	5.57
651	5.49
658	5.63
665	5.6
672	5.51
679	5.64
686	5.58
693	5.67
700	5.8
707	5.63
714	5.77
721	5.79
728	5.84
735	5.92
742	5.84
749	5.9
756	5.91
763	5.96
770	5.95
777	5.94
784	5.98
