step	unique
7	223.3
14	430.0
21	637.4
28	828.4
35	1082.0
42	1299.3
49	1477.1
56	1665.1
63	2050.8
70	2224.0
77	2403.0
84	2654.4
91	2763.6
98	2870.3
105	3277.3
112	3215.6
119	3645.4
126	3894.0
133	4064.1
140	4536.3
147	4549.9
154	4691.0
161	4764.0
168	5070.8
175	5448.4
182	5518.3
189	5816.4
196	6046.5
203	6430.1
210	6506.5
217	6506.8
224	6798.0
231	6972.4
238	7304.7
245	7671.1
252	7611.2
259	8044.5
266	8056.6
273	8276.0
280	8524.7
287	8607.8
294	9138.3
301	9371.7
308	9459.8
315	9483.2
322	9911.6
329	10181.5
336	10437.7
343	10564.5
350	10813.2
357	11074.1
364	11156.9
371	11444.5
378	11701.1
385	11757.1
392	12090.2
399	12218.1
406	12621.7
413	12411.6
420	12913.7
427	13083.4
434	13258.5
441	13595.5
448	13923.5
455	13901.5
462	14221.7
469	14419.5
476	14758.7
483	14739.8
490	15219.8
497	15353.4
504	15691.3
511	15637.1
518	16237.0
525	16365.2
532	16275.0
539	16682.1
546	16857.2
553	16920.7
560	17252.2
567	17352.7
574	17737.9
581	17960.4
588	18064.2
595	18379.5
602	18462.3
609	18768.4
616	18842.4
623	19179.6
630	19399.5
637	19699.7
644	19668.6
651	19980.5
658	20386.5
665	20430.5
672	20835.5
679	20717.4
686	21084.5
693	21475.6
700	21720.3
